<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"110125463","Blaenau Gwent","Land","Club Row, Blaina","£150,000","","","","Located in the highly sought after village of Blaina, a development site with full detailed planning granted for three, terraced houses - call for more information!","https://www.rightmove.co.uk/properties/110125463#/?channel=COM_BUY","2021-07-08T10:48:24Z","","new","Marketed by Darlows, Brynmawr","","51.765618","-3.154445","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/110125463/11383_1002_DAR100212931_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/110125463/11383_1002_DAR100212931_IMG_01_0001_max_476x317.jpeg"
=======
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169892786","Blaenau Gwent","Retail Property (high street)","1 Glyn Terrace, Tredegar, NP22 4HX","£90,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 86 - Former Commercial Unit with Development Potential; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER The property comprises an end of terrace building most recently used for commercial purposes. Situated in the popular Georgetown area of Tredegar, the...","https://www.rightmove.co.uk/properties/169892786#/?channel=COM_BUY","2025-12-01T17:30:12Z","","new","Marketed by Paul Fosh Commercial, South Wales","","51.76516","-3.238016","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_43_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_44_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_45_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_46_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_47_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_49_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_50_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_51_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_53_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_54_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_55_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_56_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_57_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169892786/218492_321079_IMG_58_0000_max_476x317.jpeg"
"169776998","Blaenau Gwent","Mixed Use","8 Market Square, Brynmawr, Ebbw Vale, NP23 4AJ","£45,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 25 - Commercial Opportunity ; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER A two storey mixed-use property located in Brynmawr. The ground floor was previously let to Ladbrokes and is now vacant, ready to be marketed for a new commercial tenant. ...","https://www.rightmove.co.uk/properties/169776998#/?channel=COM_BUY","2025-11-27T12:23:17Z","","new","Marketed by Paul Fosh Commercial, South Wales","","51.797848","-3.174058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1a3157168/169776998/1a3157168dc3c9e56d0b864ac58d9994_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d7ac2746f/169776998/d7ac2746febecfe14194c36e14dd6cf9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/81c455902/169776998/81c455902cce55090daac8e8ddff8ed1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cf3fbebd8/169776998/cf3fbebd85cae68e2a811befb64f81ec_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f70df173a/169776998/f70df173aa8e7e24349d1e65c6dfd5fc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/33fed85a7/169776998/33fed85a7b724bd99b8e5d78a05f926b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/811dbe277/169776998/811dbe277f6058d707c23a5911531cdc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c50c3bdb7/169776998/c50c3bdb7957d93005c086b5e8105a75_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ff8a40fc6/169776998/ff8a40fc640d9489a90ca23eece9ac86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/031488b4f/169776998/031488b4f6e0f3cd1db2ea6035b8640a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/330d9812b/169776998/330d9812b62aa11d48dac72a29aced2b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/42c6870b3/169776998/42c6870b33cf58f4de43405543c805e1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/548c17487/169776998/548c17487acd58f78cee500050eb0c0d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e2ce3918/169776998/3e2ce39186fc5072b22d99d714085fd3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b4c156f44/169776998/b4c156f4446435e0429a38250308b2cb_max_476x317.jpeg"
"169776995","Blaenau Gwent","Mixed Use","8 Market Square, Brynmawr, Ebbw Vale, NP23 4AJ","£45,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 25 - Commercial Opportunity ; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER A two storey mixed-use property located in Brynmawr. The ground floor was previously let to Ladbrokes and is now vacant, ready to be marketed for a new commercial tenant. ...","https://www.rightmove.co.uk/properties/169776995#/?channel=COM_BUY","2025-11-27T12:23:16Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.797848","-3.174058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776995/113059_319175_IMG_14_0000_max_476x317.jpeg"
"169776158","Blaenau Gwent","Mixed Use","5 Beaufort Street, Brynmawr, Ebbw Vale, NP23 4AE","£28,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 5 - Commercial Investment with Established Tenants; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER A two storey mixed-use property located on Brynmawr High Street. The ground floor is let to Ladbrokes, who have occupied the premises since 2005 and c...","https://www.rightmove.co.uk/properties/169776158#/?channel=COM_BUY","2025-11-27T12:09:38Z","","new","Marketed by Paul Fosh Commercial, South Wales","","51.799725","-3.176021","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776158/218492_319173_IMG_06_0000_max_476x317.jpeg"
"169776155","Blaenau Gwent","Mixed Use","5 Beaufort Street, Brynmawr, Ebbw Vale, NP23 4AE","£28,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 5 - Commercial Investment with Established Tenants; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER A two storey mixed-use property located on Brynmawr High Street. The ground floor is let to Ladbrokes, who have occupied the premises since 2005 and c...","https://www.rightmove.co.uk/properties/169776155#/?channel=COM_BUY","2025-11-27T12:09:37Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.799725","-3.176021","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169776155/113059_319173_IMG_06_0000_max_476x317.jpeg"
"120201839","Blaenau Gwent","Land","Clytha Crescent, Abertillery","£38,000","","","","","","","","","An exciting opportunity to develop and build your very own three bedroom detached executive home in the picturesque village of Abertillery","https://www.rightmove.co.uk/properties/120201839#/?channel=COM_BUY","2022-02-19T13:34:30Z","","price_reduced","Marketed by Darlows, Brynmawr","","51.731888","-3.142535","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/120201839/11383_1002_DAR100213619_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/120201839/11383_1002_DAR100213619_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/120201839/11383_1002_DAR100213619_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/120201839/11383_1002_DAR100213619_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11383/120201839/11383_1002_DAR100213619_IMG_04_0002_max_476x317.jpeg"
"169416149","Blaenau Gwent","Shop","King Street, Brynmawr, NP23","£60,000","Guide Price","","","","","","","","This property is for sale by Modern Method of Auction by iamsold LTD.","https://www.rightmove.co.uk/properties/169416149#/?channel=COM_BUY","2025-11-17T16:30:54Z","","new","Marketed by Taylor & Co, Abergavenny","","51.79994","-3.176357","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210284/169416149/210284_d958a26d-28ec-4b83-a34b-b9bdc7149da6_IMG_14_0000_max_476x317.jpeg"
"162005900","Blaenau Gwent","Land","Commercial Street, Aberbeeg","£115,000","","","","","","","","","Stunning development plot with valley views! Former Ty’r Graig School site with outline planning for 9 homes. Over 100m in length with rich history and space for a landmark single home or multiple units. Rare opportunity in a breathtaking setting—don’t miss it!","https://www.rightmove.co.uk/properties/162005900#/?channel=COM_BUY","2025-05-15T17:18:50Z","","price_reduced","Marketed by Darlows, Covering Blackwood","","51.7041","-3.1436","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287972/162005900/287972_1189_DAR118900019_IMG_09_0000_max_476x317.jpeg"
"169267841","Blaenau Gwent","Land","Carlyle Street, Abertillery, Blaenau Gwent. NP13 1UF","£225,000","Guide Price","","","","","","","","Being Sold via Secure Sale online bidding. Terms & Conditions apply. STARTING BID £225,000.00. FOR SALE is this plot in Abertillery which had a pre planning application in to Blaenau Gwent County Borough Council for 8 plots, currently for 8 x 2 bedroom properties.","https://www.rightmove.co.uk/properties/169267841#/?channel=COM_BUY","2025-11-12T12:44:06Z","","new","Marketed by Davis & Sons, Risca","","51.731331","-3.139672","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16938/169267841/16938_PRA11352_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16938/169267841/16938_PRA11352_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16938/169267841/16938_PRA11352_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16938/169267841/16938_PRA11352_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16938/169267841/16938_PRA11352_IMG_04_0000_max_476x317.jpeg"
